THETA2_deg,A_x,A_y,B_x,B_y,MCF_x,MCF_y,M4_x,M4_y,J2_x,J2_y,P_x,P_y,S1_x,S1_y,S2_x,S2_y,P2_x,P2_y,P3_x,P3_y,IFP_x,IFP_y,IFD_x,IFD_y,TIP_x,TIP_y,CRK3_x,CRK3_y,ROK3_x,ROK3_y,theta_fp_deg,theta_fm_deg,theta_fd_deg,DIP_rel_deg
121.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-28.6651,3.6447,-9.0263,30.0009,-53.1503,8.6919,-33.7448,-20.8338,-42.8900,-30.0731,-76.0331,-41.3219,-69.3205,-92.8869,-43.4704,-54.8251,-35.7789,-79.6614,-13.4334,-88.4181,-44.1269,-62.7982,-35.3394,-61.6668,225.2933,287.2071,338.6008,51.3937
122.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-28.6962,3.4730,-9.5472,29.6817,-53.3372,7.6945,-33.7381,-21.0133,-42.8160,-30.3188,-75.5894,-42.6030,-67.7362,-94.0066,-43.2168,-55.0744,-34.6717,-79.6301,-11.9432,-87.3381,-43.8153,-63.0520,-35.0695,-61.6345,225.7091,289.1873,341.2663,52.0790
123.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-28.7257,3.3010,-10.0624,29.3535,-53.4973,6.6729,-33.7301,-21.1931,-42.7401,-30.5642,-75.0964,-43.9085,-66.0550,-95.1164,-42.9610,-55.3221,-33.5325,-79.5523,-10.4552,-86.1428,-43.5016,-63.3038,-34.8075,-61.5975,226.1254,291.2620,344.0616,52.7995
124.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-28.7538,3.1287,-10.5718,29.0163,-53.6287,5.6262,-33.7207,-21.3729,-42.6624,-30.8094,-74.5492,-45.2397,-64.2657,-96.2127,-42.7032,-55.5682,-32.3593,-79.4220,-8.9741,-84.8197,-43.1857,-63.5536,-34.5538,-61.5563,226.5422,293.4434,347.0027,53.5593
125.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-28.7803,2.9562,-11.0752,28.6703,-53.7292,4.5533,-33.7101,-21.5529,-42.5828,-31.0543,-73.9419,-46.5979,-62.3555,-97.2907,-42.4432,-55.8127,-31.1494,-79.2317,-7.5061,-83.3544,-42.8676,-63.8015,-34.3087,-61.5111,226.9595,295.7458,350.1088,54.3630
126.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-28.8054,2.7835,-11.5725,28.3156,-53.7964,3.4531,-33.6981,-21.7331,-42.5013,-31.2989,-73.2678,-47.9848,-60.3086,-98.3441,-42.1812,-56.0556,-29.9000,-78.9723,-6.0589,-81.7292,-42.5473,-64.0473,-34.0726,-61.4626,227.3773,298.1871,353.4037,55.2166
127.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-28.8289,2.6105,-12.0635,27.9522,-53.8273,2.3243,-33.6848,-21.9133,-42.4179,-31.5431,-72.5186,-49.4022,-58.1057,-99.3649,-41.9171,-56.2969,-28.6081,-78.6323,-4.6428,-79.9230,-42.2248,-64.2910,-33.8459,-61.4112,227.7956,300.7895,356.9171,56.1277
128.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-28.8509,2.4374,-12.5482,27.5804,-53.8185,1.1653,-33.6702,-22.0937,-42.3326,-31.7871,-71.6844,-50.8521,-55.7229,-100.3418,-41.6509,-56.5365,-27.2699,-78.1973,-3.2716,-77.9096,-41.9002,-64.5326,-33.6286,-61.3578,228.2144,303.5810,360.6867,57.1057
129.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-28.8714,2.2641,-13.0262,27.2001,-53.7664,-0.0256,-33.6542,-22.2742,-42.2455,-32.0307,-70.7527,-52.3369,-53.1298,-101.2596,-41.3827,-56.7745,-25.8817,-77.6484,-1.9645,-75.6563,-41.5734,-64.7722,-33.4208,-61.3033,228.6337,306.5977,364.7613,58.1636
130.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-28.8904,2.0906,-13.4976,26.8116,-53.6662,-1.2506,-33.6368,-22.4547,-42.1565,-32.2739,-69.7078,-53.8592,-50.2874,-102.0966,-41.1124,-57.0107,-24.4391,-76.9607,-0.7483,-73.1210,-41.2446,-65.0096,-33.2223,-61.2490,229.0534,309.8874,369.2061,59.3187
131.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-28.9079,1.9169,-13.9621,26.4148,-53.5125,-2.5120,-33.6182,-22.6353,-42.0656,-32.5167,-68.5294,-55.4223,-47.1441,-102.8213,-40.8401,-57.2452,-22.9380,-76.1003,0.3378,-70.2492,-40.9136,-65.2449,-33.0323,-61.1971,229.4736,313.5149,374.1108,60.5959
132.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-28.9239,1.7431,-14.4196,26.0101,-53.2987,-3.8130,-33.5982,-22.8160,-41.9728,-32.7592,-67.1907,-57.0297,-43.6300,-103.3858,-40.5658,-57.4780,-21.3747,-75.0194,1.2342,-66.9674,-40.5806,-65.4780,-32.8491,-61.1508,229.8943,317.5713,379.6031,62.0317
